# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.90002000E-09  0.19126771E-02  0.00000000E+00  0.14771123E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.91002000E-09  0.19126771E-02  0.00000000E+00  0.14938743E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.92002000E-09  0.19126771E-02  0.00000000E+00  0.15106363E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.93002000E-09  0.19126771E-02  0.00000000E+00  0.15273983E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.94002000E-09  0.19126771E-02  0.00000000E+00  0.15441603E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.95002000E-09  0.19126771E-02  0.00000000E+00  0.15609223E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.96002000E-09  0.19126771E-02  0.00000000E+00  0.15776843E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.97002000E-09  0.19126771E-02  0.00000000E+00  0.15944463E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.98002000E-09  0.19126771E-02  0.00000000E+00  0.16112083E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.99002000E-09  0.19126771E-02  0.00000000E+00  0.16279703E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000200E-08  0.19126771E-02  0.00000000E+00  0.16447323E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10100200E-08  0.19126771E-02  0.00000000E+00  0.16614943E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10200200E-08  0.19126771E-02  0.00000000E+00  0.16782563E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10300200E-08  0.19126771E-02  0.00000000E+00  0.16950183E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10400200E-08  0.19126771E-02  0.00000000E+00  0.17117803E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10500200E-08  0.19126771E-02  0.00000000E+00  0.17285423E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10600200E-08  0.19126771E-02  0.00000000E+00  0.17453043E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10700200E-08  0.19126771E-02  0.00000000E+00  0.17620663E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
